   km  Ne/cm-3 Ne/NmF2 Tn/K  Ti/K  Te/K  O+  N+  H+ He+ O2+ NO+ Clust TEC t/%
  80.0    1259  0.002   182   182   182   0   0   0   0   9 991  -1  24.6  70
  81.0    1322  0.002   180   180   180   0   0   0   0  11 989  -1  24.6  70
  82.0    1396  0.002   178   178   178   0   0   0   0  12 988  -1  24.6  70
  83.0    1545  0.002   176   176   176   0   0   0   0  14 986  -1  24.6  70
  84.0    1882  0.003   174   174   174   0   0   0   0  17 983  -1  24.6  70
  85.0    2654  0.004   173   173   173   0   0   0   0  23 977  -1  24.6  70
  86.0    4452  0.006   172   172   172   0   0   0   0  39 961  -1  24.6  70
  87.0    7433  0.010   171   171   171   0   0   0   0  63 937  -1  24.6  70
  88.0   11771  0.016   170   170   170   0   0   0   0  97 903  -1  24.6  70
  89.0   17740  0.025   170   170   170   0   0   0   0 139 861  -1  24.6  70
  90.0   25532  0.035   171   171   171   0   0   0   0 188 812  -1  24.6  70
  91.0   35204  0.049   171   171   171   0   0   0   0 240 760  -1  24.6  70
  92.0   46652  0.065   173   173   173   0   0   0   0 294 706  -1  24.6  70
  93.0   59602  0.083   174   174   174   0   0   0   0 355 645  -1  24.6  70
  94.0   73634  0.102   176   176   176   0   0   0   0 412 588  -1  24.6  70
  95.0   88224  0.122   179   179   179   0   0   0   0 462 538  -1  24.6  70
  96.0  102807  0.143   181   181   181   0   0   0   0 504 496  -1  24.6  70
  97.0  116835  0.162   184   184   184   0   0   0   0 538 462  -1  24.6  70
  98.0  129834  0.180   188   188   188   0   0   0   0 526 474  -1  24.6  70
  99.0  141441  0.196   192   192   192   0   0   0   0 495 505  -1  24.6  70
 100.0  151422  0.210   196   196   196   0   0   0   0 503 497  -1  24.6  70
 101.0  159678  0.221   201   201   201   0   0   0   0 500 500  -1  24.6  70
 102.0  166226  0.231   207   207   207   0   0   0   0 492 508  -1  24.6  70
 103.0  171184  0.237   212   212   212   0   0   0   0 480 520  -1  24.6  70
 104.0  174739  0.242   219   219   219   0   0   0   0 461 539  -1  24.6  70
 105.0  177122  0.246   226   226   226   0   0   0   0 447 553  -1  24.6  70
 106.0  178583  0.248   233   233   233   0   0   0   0 427 572  -1  24.6  70
 107.0  179370  0.249   241   241   241   0   0   0   0 407 592  -1  24.6  70
 108.0  179714  0.249   250   250   250   0   0   0   0 387 612  -1  24.6  70
 109.0  179814  0.249   259   259   259   0   0   0   0 366 632  -1  24.6  70
 110.0  179824  0.249   270   270   270   1   0   0   0 347 651  -1  24.6  70
 111.0  179561  0.249   280   280   280   1   0   0   0 329 669  -1  24.6  70
 112.0  178845  0.248   292   292   292   1   0   0   0 311 687  -1  24.6  70
 113.0  177796  0.247   305   305   305   1   0   0   0 291 706  -1  24.6  70
 114.0  176540  0.245   318   318   318   1   0   0   0 273 724  -1  24.6  70
 115.0  175207  0.243   332   332   332   1   0   0   0 259 737  -1  24.6  70
 116.0  173920  0.241   347   347   347   2   0   0   0 257 739  -1  24.6  70
 117.0  172799  0.240   363   363   363   2   0   0   0 254 742  -1  24.6  70
 118.0  171948  0.238   380   380   380   2   0   0   0 250 745  -1  24.6  70
 119.0  171454  0.238   397   397   397   3   0   0   0 246 748  -1  24.6  70
 120.0  171379  0.238   415   415   415   3   0   0   0 242 752  -1  24.6  70
 121.0  171759  0.238   434   434   434   4   0   0   0 237 755  -1  24.6  70
 122.0  172596  0.239   452   452   452   4   0   0   0 233 758  -1  24.6  70
 123.0  173854  0.241   470   470   470   5   1   0   0 233 757  -1  24.6  70
 124.0  175451  0.243   490   490   490   6   1   0   0 229 760  -1  24.6  70
 125.0  177259  0.246   508   508   508   7   1   0   0 225 762  -1  24.6  70
 126.0  179097  0.248   526   526   526   8   1   0   0 222 763  -1  24.6  70
 127.0  181047  0.251   544   544   544   9   1   0   0 220 765  -1  24.6  70
 128.0  183177  0.254   561   561   561  10   1   0   0 217 766  -1  24.6  70
 129.0  185328  0.257   578   578   578  12   1   0   0 215 766  -1  24.6  70
 130.0  187501  0.260   594   594   594  13   1   0   0 213 766  -1  24.6  70
 131.0  189696  0.263   611   611   611  15   1   0   0 211 765  -1  24.6  70
 132.0  191914  0.266   627   627   627  17   1   0   0 209 764  -1  24.6  70
 133.0  194153  0.269   642   642   642  19   2   0   0 208 763  -1  24.6  70
 134.0  196414  0.272   657   657   657  21   2   0   0 207 762  -1  24.6  70
 135.0  198698  0.276   673   673   673  23   2   0   0 205 760  -1  24.6  70
 136.0  201004  0.279   687   687   687  26   2   0   0 204 758  -1  24.6  70
 137.0  203333  0.282   702   702   702  28   2   0   0 202 757  -1  24.6  70
 138.0  205685  0.285   716   716   716  31   2   0   0 201 755  -1  24.6  70
 139.0  208059  0.289   730   730   730  34   3   0   0 200 752  -1  24.6  70
 140.0  210456  0.292   744   744   744  38   3   0   0 198 749  -1  24.6  70
 141.0  212876  0.295   757   757   757  41   3   0   0 197 746  -1  24.6  70
 142.0  215318  0.299   770   770   770  45   3   0   0 195 743  -1  24.6  70
 143.0  217784  0.302   783   783   783  49   3   0   0 194 740  -1  24.6  70
 144.0  220273  0.305   796   796   796  53   4   0   0 192 737  -1  24.6  70
 145.0  222784  0.309   808   808   808  58   4   0   0 191 733  -1  24.6  70
 146.0  225319  0.312   820   820   820  62   4   0   0 189 729  -1  24.6  70
 147.0  227876  0.316   832   832   832  67   4   0   0 187 725  -1  24.6  70
 148.0  230457  0.320   844   844   844  73   5   0   0 185 721  -1  24.6  70
 149.0  233060  0.323   855   855   855  78   5   0   0 183 717  -1  24.6  70
 150.0  235687  0.327   867   867   867  84   5   0   0 181 712  -1  24.6  70
 151.0  238336  0.331   878   878   878  90   5   0   0 179 707  -1  24.6  70
 152.0  241007  0.334   889   889   889  97   6   0   0 177 702  -1  24.6  70
 153.0  243701  0.338   899   899   899 103   6   0   0 174 697  -1  24.6  70
 154.0  246418  0.342   910   910   910 110   6   0   0 172 691  -1  24.6  70
 155.0  249156  0.346   920   920   920 118   7   0   0 170 685  -1  24.6  70
 156.0  251915  0.349   930   930   930 125   7   0   0 167 679  -1  24.6  70
 157.0  254696  0.353   940   940   940 133   7   0   0 165 673  -1  24.6  70
 158.0  257499  0.357   950   950   950 141   8   0   0 162 667  -1  24.6  70
 159.0  260321  0.361   959   959   959 150   8   0   0 160 660  -1  24.6  70
 160.0  263164  0.365   969   969   969 158   8   0   0 157 653  -1  24.6  70
 161.0  266025  0.369   978   978   978 168   9   0   0 154 645  -1  24.6  70
 162.0  268905  0.373   987   987   987 177   9   0   0 152 638  -1  24.6  70
 163.0  271788  0.377   996   996   996 186   9   0   0 149 630  -1  24.6  70
 164.0  274643  0.381  1004  1004  1004 195  10   0   0 146 624  -1  24.6  70
 165.0  277468  0.385  1013  1013  1013 202  10   0   0 143 618  -1  24.6  70
 166.0  280261  0.389  1021  1021  1021 210  11   0   0 141 612  -1  24.6  70
 167.0  283020  0.392  1029  1029  1030 218  11   0   0 138 606  -1  24.6  70
 168.0  285743  0.396  1037  1037  1044 225  11   0   0 135 600  -1  24.6  70
 169.0  288427  0.400  1045  1045  1057 232  12   0   0 133 595  -1  24.6  70
 170.0  291071  0.404  1053  1053  1070 239  12   0   0 130 590  -1  24.6  70
 171.0  293672  0.407  1060  1060  1083 247  13   0   0 127 584  -1  24.6  70
 172.0  296228  0.411  1068  1068  1096 254  13   0   0 125 579  -1  24.6  70
 173.0  298737  0.414  1075  1075  1109 261  13   0   0 122 573  -1  24.6  70
 174.0  301196  0.418  1082  1082  1122 269  14   0   0 120 567  -1  24.6  70
 175.0  303602  0.421  1089  1089  1135 276  14   0   0 117 562  -1  24.6  70
 176.0  305952  0.424  1096  1096  1148 283  15   0   0 115 556  -1  24.6  70
 177.0  308243  0.427  1103  1103  1161 291  15   0   0 113 550  -1  24.6  70
 178.0  310472  0.431  1110  1110  1174 298  15   0   0 110 544  -1  24.6  70
 179.0  312635  0.434  1116  1116  1187 305  16   0   0 108 539  -1  24.6  70
 180.0  314728  0.436  1123  1123  1201 313  16   0   0 106 533  -1  24.6  70
 181.0  316746  0.439  1129  1129  1214 320  17   0   0 104 527  -1  24.6  70
 182.0  318685  0.442  1135  1135  1227 327  17   0   0 102 521  -1  24.6  70
 183.0  320539  0.445  1141  1141  1240 334  17   0   0 100 516  -1  24.6  70
 184.0  322301  0.447  1147  1147  1253 341  18   0   0  98 510  -1  24.6  70
 185.0  323963  0.449  1153  1153  1266 349  18   0   0  95 504  -1  24.6  70
 186.0  325516  0.451  1158  1158  1279 356  19   0   0  94 499  -1  24.6  70
 187.0  326947  0.453  1164  1164  1292 363  19   0   0  92 493  -1  24.6  70
 188.0  328242  0.455  1170  1170  1305 369  19   0   0  90 487  -1  24.6  70
 189.0  329377  0.457  1175  1175  1318 376  20   0   0  88 482  -1  24.6  70
 190.0  330317  0.458  1180  1180  1331 383  20   0   0  86 477  -1  24.6  70
 191.0  330983  0.459  1185  1185  1344 389  20   0   0  84 472  -1  24.6  70
 192.0  334191  0.463  1191  1191  1357 398  21   0   0  83 464  -1  24.6  70
 193.0  339368  0.471  1196  1196  1370 407  21   0   0  81 456  -1  24.6  70
 194.0  344578  0.478  1200  1200  1382 417  22   0   0  79 447  -1  24.6  70
 195.0  349819  0.485  1205  1205  1395 426  22   0   0  77 439  -1  24.6  70
 196.0  355091  0.492  1210  1210  1408 436  23   0   0  75 430  -1  24.6  70
 197.0  360392  0.500  1215  1215  1421 445  23   0   0  74 422  -1  24.6  70
 198.0  365722  0.507  1219  1219  1433 455  24   0   0  72 413  -1  24.6  70
 199.0  371078  0.515  1224  1224  1446 464  24   0   0  70 405  -1  24.6  70
 200.0  376460  0.522  1228  1228  1458 474  25   0   0  69 396  -1  24.6  70
 201.0  381866  0.530  1232  1232  1470 483  25   0   0  67 388  -1  24.6  70
 202.0  387295  0.537  1237  1237  1482 493  26   0   0  65 380  -1  24.6  70
 203.0  392746  0.545  1241  1241  1494 502  26   0   0  64 371  -1  24.6  70
 204.0  398216  0.552  1245  1245  1506 511  27   0   0  62 363  -1  24.6  70
 205.0  403705  0.560  1249  1249  1517 521  27   0   0  61 355  -1  24.6  70
 206.0  409210  0.567  1253  1253  1528 530  28   0   0  59 347  -1  24.6  70
 207.0  414731  0.575  1257  1257  1539 539  28   0   0  58 339  -1  24.6  70
 208.0  420266  0.583  1260  1260  1550 548  29   0   0  56 331  -1  24.6  70
 209.0  425813  0.590  1264  1264  1560 557  29   0   0  55 323  -1  24.6  70
 210.0  431370  0.598  1268  1268  1570 566  29   0   0  54 315  -1  24.6  70
 211.0  436935  0.606  1271  1271  1579 575  30   0   0  52 307  -1  24.6  70
 212.0  442508  0.614  1275  1275  1588 584  30   0   0  51 299  -1  24.6  70
 213.0  448085  0.621  1278  1278  1597 593  31   0   0  50 291  -1  24.6  70
 214.0  453666  0.629  1282  1282  1606 601  31   0   0  48 284  -1  24.6  70
 215.0  459248  0.637  1285  1285  1614 610  32   0   0  47 276  -1  24.6  70
 216.0  464830  0.645  1288  1288  1622 618  32   0   0  46 269  -1  24.6  70
 217.0  470409  0.652  1291  1291  1629 626  32   0   0  44 262  -1  24.6  70
 218.0  475984  0.660  1294  1294  1637 635  33   0   0  43 254  -1  24.6  70
 219.0  481553  0.668  1297  1297  1644 643  33   0   0  42 247  -1  24.6  70
 220.0  487113  0.675  1300  1300  1651 651  33   0   0  41 240  -1  24.6  70
 221.0  492662  0.683  1303  1303  1658 659  34   0   0  40 234  -1  24.6  70
 222.0  498199  0.691  1306  1306  1664 666  34   0   0  39 227  -1  24.6  70
 223.0  503721  0.699  1309  1309  1671 674  34   0   0  38 220  -1  24.6  70
 224.0  509226  0.706  1312  1312  1677 681  35   0   0  37 214  -1  24.6  70
 225.0  514713  0.714  1315  1315  1684 688  35   0   0  36 208  -1  24.6  70
 226.0  520178  0.721  1317  1317  1690 695  35   0   0  35 202  -1  24.6  70
 227.0  525620  0.729  1320  1320  1697 702  35   0   0  34 196  -1  24.6  70
 228.0  531036  0.736  1323  1323  1703 709  36   0   0  33 190  -1  24.6  70
 229.0  536424  0.744  1325  1325  1709 716  36   0   0  32 185  -1  24.6  70
 230.0  541782  0.751  1328  1328  1715 722  36   0   0  31 179  -1  24.6  70
 231.0  547107  0.759  1330  1330  1721 729  36   0   0  30 174  -1  24.6  70
 232.0  552398  0.766  1333  1333  1727 735  37   0   0  29 169  -1  24.6  70
 233.0  557651  0.773  1335  1335  1734 741  37   0   0  28 164  -1  24.6  70
 234.0  562866  0.781  1337  1337  1740 747  37   0   0  27 159  -1  24.6  70
 235.0  568038  0.788  1340  1340  1746 752  37   0   0  27 154  -1  24.6  70
 236.0  573166  0.795  1342  1342  1752 758  37   0   0  26 149  -1  24.6  70
 237.0  578247  0.802  1344  1344  1758 763  37   0   0  25 145  -1  24.6  70
 238.0  583279  0.809  1346  1346  1764 769  38   0   0  24 141  -1  24.6  70
 239.0  588260  0.816  1348  1348  1770 774  38   0   0  24 136  -1  24.6  70
 240.0  593188  0.823  1350  1350  1776 779  38   0   0  23 132  -1  24.6  70
 241.0  598059  0.829  1352  1352  1782 784  38   0   0  22 128  -1  24.6  70
 242.0  602871  0.836  1354  1354  1788 789  38   0   0  22 125  -1  24.6  70
 243.0  607622  0.843  1356  1356  1794 793  38   0   0  21 121  -1  24.6  70
 244.0  612310  0.849  1358  1358  1800 798  38   0   0  20 117  -1  24.6  70
 245.0  616932  0.856  1360  1360  1806 802  39   0   0  20 114  -1  24.6  70
 246.0  621485  0.862  1362  1362  1812 806  39   0   0  19 110  -1  24.6  70
 247.0  625968  0.868  1364  1364  1818 811  39   0   0  19 107  -1  24.6  70
 248.0  630377  0.874  1366  1366  1824 815  39   0   0  18 104  -1  24.6  70
 249.0  634711  0.880  1367  1367  1830 819  39   0   0  18 101  -1  24.6  70
 250.0  638968  0.886  1369  1369  1836 822  39   0   0  17  98  -1  24.6  70
 251.0  643143  0.892  1371  1371  1842 826  39   0   0  17  95  -1  24.6  70
 252.0  647236  0.898  1373  1373  1848 830  39   0   0  16  92  -1  24.6  70
 253.0  651244  0.903  1374  1374  1855 833  39   0   0  16  89  -1  24.6  70
 254.0  655165  0.909  1376  1376  1861 837  39   0   0  15  87  -1  24.6  70
 255.0  658996  0.914  1377  1377  1867 840  39   0   0  15  84  -1  24.6  70
 256.0  662734  0.919  1379  1379  1873 843  39   0   0  14  82  -1  24.6  70
 257.0  666378  0.924  1380  1380  1879 846  39   0   0  14  79  -1  24.6  70
 258.0  669926  0.929  1382  1382  1885 849  39   0   0  14  77  -1  24.6  70
 259.0  673375  0.934  1383  1383  1891 852  39   0   0  13  75  -1  24.6  70
 260.0  676722  0.938  1385  1385  1897 855  39   0   0  13  73  -1  24.6  70
 261.0  679966  0.943  1386  1386  1903 858  39   0   0  13  71  -1  24.6  70
 262.0  683105  0.947  1388  1388  1909 861  39   0   0  12  69  -1  24.6  70
 263.0  686136  0.951  1389  1389  1915 863  39   0   0  12  67  -1  24.6  70
 264.0  689056  0.956  1390  1390  1921 866  39   0   0  12  65  -1  24.6  70
 265.0  691865  0.959  1392  1392  1927 868  39   0   0  11  63  -1  24.6  70
 266.0  694559  0.963  1393  1393  1933 871  39   0   0  11  61  -1  24.6  70
 267.0  697137  0.967  1394  1394  1939 873  39   0   0  11  60  -1  24.6  70
 268.0  699597  0.970  1395  1395  1945 875  39   0   0  10  58  -1  24.6  70
 269.0  701936  0.973  1397  1397  1951 877  39   0   0  10  56  -1  24.6  70
 270.0  704152  0.976  1398  1398  1957 880  39   0   0  10  55  -1  24.6  70
 271.0  706243  0.979  1399  1399  1963 882  39   0   0  10  53  -1  24.6  70
 272.0  708208  0.982  1400  1400  1969 884  39   0   0   9  52  -1  24.6  70
 273.0  710044  0.985  1401  1401  1975 886  39   0   0   9  51  -1  24.6  70
 274.0  711749  0.987  1402  1402  1981 887  39   0   0   9  49  -1  24.6  70
 275.0  713321  0.989  1403  1403  1987 889  39   0   0   9  48  -1  24.6  70
 276.0  714758  0.991  1405  1405  1993 891  39   0   0   8  47  -1  24.6  70
 277.0  716057  0.993  1406  1406  1999 893  39   0   0   8  46  -1  24.6  70
 278.0  717215  0.995  1407  1407  2005 894  39   0   0   8  44  -1  24.6  70
 279.0  718231  0.996  1408  1408  2011 896  39   0   0   8  43  -1  24.6  70
 280.0  719102  0.997  1409  1409  2017 898  39   0   0   8  42  -1  24.6  70
 281.0  719824  0.998  1410  1410  2023 899  39   0   0   7  41  -1  24.6  70
 282.0  720393  0.999  1411  1411  2029 901  39   0   0   7  40  -1  24.6  70
 283.0  720805  1.000  1412  1412  2035 902  39   0   0   7  39  -1  24.6  70
 284.0  721050  1.000  1412  1412  2041 903  39   0   0   7  38  -1  24.6  70
 285.0  721116  1.000  1413  1413  2047 905  39   0   0   7  37  -1  24.6  70
 286.0  721067  1.000  1414  1414  2053 906  39   0   0   6  36  -1  24.6  70
 287.0  720950  1.000  1415  1415  2060 907  39   0   0   6  36  -1  24.6  70
 288.0  720766  1.000  1416  1416  2066 909  39   0   0   6  35  -1  24.6  70
 289.0  720515  0.999  1417  1417  2072 910  39   0   0   6  34  -1  24.6  70
 290.0  720198  0.999  1418  1418  2078 911  39   0   0   6  33  -1  24.6  70
 291.0  719816  0.998  1418  1418  2084 912  39   0   0   6  32  -1  24.6  70
 292.0  719369  0.998  1419  1419  2090 913  39   0   0   6  32  -1  24.6  70
 293.0  718859  0.997  1420  1420  2096 914  39   0   0   5  31  -1  24.6  70
 294.0  718287  0.996  1421  1421  2102 915  39   0   0   5  30  -1  24.6  70
 295.0  717652  0.995  1422  1422  2108 916  39   0   0   5  30  -1  24.6  70
 296.0  716957  0.994  1422  1422  2114 917  39   0   0   5  29  -1  24.6  70
 297.0  716202  0.993  1423  1423  2120 918  38   0   0   5  28  -1  24.6  70
 298.0  715387  0.992  1424  1424  2126 919  38   0   0   5  28  -1  24.6  70
 299.0  714514  0.991  1424  1424  2132 920  38   0   0   5  27  -1  24.6  70
 300.0  713584  0.990  1425  1426  2138 973  27   0   0   0   0  -1  24.6  70
 301.0  712598  0.988  1426  1428  2144 973  27   0   0   0   0  -1  24.6  70
 302.0  711555  0.987  1427  1430  2150 973  27   0   0   0   0  -1  24.6  70
 303.0  710458  0.985  1427  1432  2156 973  27   0   0   0   0  -1  24.6  70
 304.0  709308  0.984  1428  1434  2162 973  27   0   0   0   0  -1  24.6  70
 305.0  708105  0.982  1428  1436  2168 973  27   0   0   0   0  -1  24.6  70
 306.0  706850  0.980  1429  1438  2174 973  27   0   0   0   0  -1  24.6  70
 307.0  705543  0.978  1430  1440  2180 973  27   0   0   0   0  -1  24.6  70
 308.0  704187  0.977  1430  1442  2186 973  27   0   0   0   0  -1  24.6  70
 309.0  702783  0.975  1431  1444  2192 973  27   0   0   0   0  -1  24.6  70
 310.0  701329  0.973  1431  1446  2198 973  27   0   0   0   0  -1  24.6  70
 311.0  699829  0.970  1432  1448  2204 973  27   0   0   0   0  -1  24.6  70
 312.0  698283  0.968  1433  1450  2210 973  27   0   0   0   0  -1  24.6  70
 313.0  696691  0.966  1433  1452  2216 972  27   0   0   0   0  -1  24.6  70
 314.0  695056  0.964  1434  1454  2222 972  27   0   0   0   0  -1  24.6  70
 315.0  693377  0.962  1434  1456  2228 972  28   0   0   0   0  -1  24.6  70
 316.0  691655  0.959  1435  1458  2234 972  28   0   0   0   0  -1  24.6  70
 317.0  689892  0.957  1435  1460  2240 972  28   0   0   0   0  -1  24.6  70
 318.0  688089  0.954  1436  1462  2246 972  28   0   0   0   0  -1  24.6  70
 319.0  686246  0.952  1436  1464  2252 972  28   0   0   0   0  -1  24.6  70
 320.0  684365  0.949  1437  1466  2258 972  28   0   0   0   0  -1  24.6  70
 321.0  682445  0.946  1437  1468  2264 972  28   0   0   0   0  -1  24.6  70
 322.0  680490  0.944  1438  1470  2271 972  28   0   0   0   0  -1  24.6  70
 323.0  678498  0.941  1438  1472  2277 972  28   0   0   0   0  -1  24.6  70
 324.0  676471  0.938  1438  1474  2283 972  28   0   0   0   0  -1  24.6  70
 325.0  674411  0.935  1439  1476  2289 972  28   0   0   0   0  -1  24.6  70
 326.0  672317  0.932  1439  1478  2295 972  28   0   0   0   0  -1  24.6  70
 327.0  670191  0.929  1440  1480  2301 972  28   0   0   0   0  -1  24.6  70
 328.0  668034  0.926  1440  1481  2307 972  28   0   0   0   0  -1  24.6  70
 329.0  665846  0.923  1441  1483  2313 972  28   0   0   0   0  -1  24.6  70
 330.0  663629  0.920  1441  1485  2319 972  28   0   0   0   0  -1  24.6  70
 331.0  661383  0.917  1441  1487  2325 972  28   0   0   0   0  -1  24.6  70
 332.0  659110  0.914  1442  1489  2331 972  28   0   0   0   0  -1  24.6  70
 333.0  656809  0.911  1442  1491  2337 972  28   0   0   0   0  -1  24.6  70
 334.0  654482  0.908  1443  1493  2343 972  28   0   0   0   0  -1  24.6  70
 335.0  652131  0.904  1443  1495  2349 972  28   0   0   0   0  -1  24.6  70
 336.0  649754  0.901  1443  1497  2355 972  28   0   0   0   0  -1  24.6  70
 337.0  647354  0.898  1444  1499  2361 972  28   0   0   0   0  -1  24.6  70
 338.0  644931  0.894  1444  1501  2367 972  28   0   0   0   0  -1  24.6  70
 339.0  642487  0.891  1444  1503  2373 972  28   0   0   0   0  -1  24.6  70
 340.0  640021  0.888  1445  1504  2378 972  28   0   0   0   0  -1  24.6  70
 341.0  637534  0.884  1445  1506  2384 972  28   0   0   0   0  -1  24.6  70
 342.0  635028  0.881  1445  1508  2390 972  28   0   0   0   0  -1  24.6  70
 343.0  632503  0.877  1446  1510  2396 972  28   0   0   0   0  -1  24.6  70
 344.0  629960  0.874  1446  1511  2402 972  28   0   0   0   0  -1  24.6  70
 345.0  627400  0.870  1446  1513  2408 971  28   0   0   0   0  -1  24.6  70
 346.0  624822  0.866  1446  1514  2413 971  28   0   0   0   0  -1  24.6  70
 347.0  622229  0.863  1447  1516  2419 971  28   0   0   0   0  -1  24.6  70
 348.0  619621  0.859  1447  1517  2425 971  29   0   0   0   0  -1  24.6  70
 349.0  616998  0.856  1447  1519  2430 971  29   0   0   0   0  -1  24.6  70
 350.0  614361  0.852  1448  1520  2436 971  29   0   0   0   0  -1  24.6  70
 351.0  611712  0.848  1448  1521  2441 971  29   0   0   0   0  -1  24.6  70
 352.0  609049  0.845  1448  1522  2447 971  29   0   0   0   0  -1  24.6  70
 353.0  606375  0.841  1448  1523  2452 971  29   0   0   0   0  -1  24.6  70
 354.0  603690  0.837  1449  1524  2458 971  29   0   0   0   0  -1  24.6  70
 355.0  600994  0.833  1449  1525  2463 971  29   0   0   0   0  -1  24.6  70
 356.0  598288  0.830  1449  1526  2468 971  29   0   0   0   0  -1  24.6  70
 357.0  595573  0.826  1449  1527  2473 971  29   0   0   0   0  -1  24.6  70
 358.0  592849  0.822  1450  1528  2479 971  29   0   0   0   0  -1  24.6  70
 359.0  590117  0.818  1450  1528  2484 971  29   0   0   0   0  -1  24.6  70
 360.0  587377  0.815  1450  1529  2489 971  29   0   0   0   0  -1  24.6  70
 361.0  584631  0.811  1450  1530  2494 971  29   0   0   0   0  -1  24.6  70
 362.0  581878  0.807  1451  1530  2499 971  29   0   0   0   0  -1  24.6  70
 363.0  579119  0.803  1451  1531  2504 971  29   0   0   0   0  -1  24.6  70
 364.0  576355  0.799  1451  1531  2509 971  29   0   0   0   0  -1  24.6  70
 365.0  573587  0.795  1451  1532  2514 971  29   0   0   0   0  -1  24.6  70
 366.0  570814  0.792  1452  1532  2519 971  29   0   0   0   0  -1  24.6  70
 367.0  568037  0.788  1452  1533  2525 971  29   0   0   0   0  -1  24.6  70
 368.0  565257  0.784  1452  1534  2530 971  29   0   0   0   0  -1  24.6  70
 369.0  562474  0.780  1452  1534  2535 971  29   0   0   0   0  -1  24.6  70
 370.0  559689  0.776  1452  1535  2540 971  29   0   0   0   0  -1  24.6  70
 371.0  556902  0.772  1452  1535  2545 971  29   0   0   0   0  -1  24.6  70
 372.0  554114  0.768  1453  1536  2550 971  29   0   0   0   0  -1  24.6  70
 373.0  551325  0.765  1453  1536  2555 971  29   0   0   0   0  -1  24.6  70
 374.0  548536  0.761  1453  1537  2560 971  29   0   0   0   0  -1  24.6  70
 375.0  545746  0.757  1453  1537  2565 971  29   0   0   0   0  -1  24.6  70
 376.0  542957  0.753  1453  1537  2570 971  29   0   0   0   0  -1  24.6  70
 377.0  540168  0.749  1454  1538  2575 970  29   0   0   0   0  -1  24.6  70
 378.0  537381  0.745  1454  1538  2580 970  29   0   0   0   0  -1  24.6  70
 379.0  534596  0.741  1454  1539  2585 970  30   0   0   0   0  -1  24.6  70
 380.0  531812  0.737  1454  1539  2590 970  30   0   0   0   0  -1  24.6  70
 381.0  529031  0.734  1454  1540  2595 970  30   0   0   0   0  -1  24.6  70
 382.0  526252  0.730  1454  1540  2600 970  30   0   0   0   0  -1  24.6  70
