   km  Ne/cm-3 Ne/NmF2 Tn/K  Ti/K  Te/K  O+  N+  H+ He+ O2+ NO+ Clust TEC t/%
  50.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1  24.6  70
  51.0       1  0.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1  24.6  70
  52.0       1  0.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1  24.6  70
  53.0       2  0.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1  24.6  70
  54.0       3  0.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1  24.6  70
  55.0       5  0.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1  24.6  70
  56.0       9  0.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1  24.6  70
  57.0      14  0.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1  24.6  70
  58.0      21  0.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1  24.6  70
  59.0      31  0.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1  24.6  70
  60.0      46  0.000   242   242   242  -1  -1  -1  -1  -1  -1  -1  24.6  70
  61.0      65  0.000   239   239   239  -1  -1  -1  -1  -1  -1  -1  24.6  70
  62.0      89  0.000   235   235   235  -1  -1  -1  -1  -1  -1  -1  24.6  70
  63.0     120  0.000   232   232   232  -1  -1  -1  -1  -1  -1  -1  24.6  70
  64.0     158  0.000   229   229   229  -1  -1  -1  -1  -1  -1  -1  24.6  70
  65.0     203  0.000   225   225   225  -1  -1  -1  -1  -1  -1  -1  24.6  70
  66.0     254  0.000   222   222   222  -1  -1  -1  -1  -1  -1  -1  24.6  70
  67.0     313  0.000   219   219   219  -1  -1  -1  -1  -1  -1  -1  24.6  70
  68.0     378  0.001   216   216   216  -1  -1  -1  -1  -1  -1  -1  24.6  70
  69.0     448  0.001   213   213   213  -1  -1  -1  -1  -1  -1  -1  24.6  70
  70.0     522  0.001   210   210   210  -1  -1  -1  -1  -1  -1  -1  24.6  70
  71.0     600  0.001   207   207   207  -1  -1  -1  -1  -1  -1  -1  24.6  70
  72.0     679  0.001   204   204   204  -1  -1  -1  -1  -1  -1  -1  24.6  70
  73.0     758  0.001   201   201   201  -1  -1  -1  -1  -1  -1  -1  24.6  70
  74.0     837  0.001   198   198   198  -1  -1  -1  -1  -1  -1  -1  24.6  70
  75.0     913  0.001   196   196   196  -1  -1  -1  -1  -1  -1  -1  24.6  70
  76.0     988  0.001   193   193   193  -1  -1  -1  -1  -1  -1  -1  24.6  70
  77.0    1060  0.001   190   190   190  -1  -1  -1  -1  -1  -1  -1  24.6  70
  78.0    1129  0.002   187   187   187  -1  -1  -1  -1  -1  -1  -1  24.6  70
  79.0    1195  0.002   184   184   184  -1  -1  -1  -1  -1  -1  -1  24.6  70
